"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"balance-scale",9882,0.184591193860704,0.153120761801737,0.156154112974361,0.122550422048905,3,5,625,"288, 49, 288","288, 49, 288",18.2387068271637
0,"mfeat-morphological",9401,0.28538819374651,0.429792760473732,0.434860282275708,0.141265718142525,10,7,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200",155.031527996063
0,"diabetes",8349,0.0365396222317101,0.0128266229803187,0.0138227845452155,0.313856104021464,2,9,768,"500, 268","500, 268",13.0643410682678
0,"ecoli",8069,0.197439106847976,0.354494425205588,0.381177562414223,-0.10752971312064,8,8,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2",5.00434994697571
0,"heart-statlog",8349,0.0204963144963146,0.0126476212542942,0.0153246351539221,0.294096443542995,2,14,270,"150, 120","150, 120",2.95280599594116
0,"iris",8349,0.591314285714286,0.635677353259832,0.640180420600528,0.44046392901598,3,5,150,"50, 50, 50","50, 50, 50",1.28206300735474
0,"yeast",8349,0.151507381321221,0.23039771530817,0.242523187070757,-0.0820885565436042,10,9,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5",91.6766798496246
0,"wine",8349,0.374408048729058,0.40108406513103,0.40738212732481,0.536516439023687,3,14,178,"59, 71, 48","59, 71, 48",4.4785008430481
0,"prnn_synth",8349,0.00682735483870963,0.0049276928996453,0.00781622056126765,0.484485405432489,2,3,250,"125, 125","125, 125",2.98028302192688
0,"rmftsa_ladata",2791,0.311052988472343,0.232337073494529,0.233443212274563,0.301125597203627,2,11,508,"286, 222","286, 222",13.7793898582458
0,"pwLinear",1115,0.432754187619397,0.339599497964922,0.342001020089657,0.133343246620406,2,11,200,"103, 97","103, 97",3.45029592514038
0,"fri_c2_100_5",8349,0.262352941176471,0.184659459978366,0.190820602910323,0.267549348344691,2,6,100,"40, 60","40, 60",2.0267128944397
0,"analcatdata_supreme",2791,0.751891051786418,0.600689807701043,0.600779362166989,0.409792101394855,2,8,4052,"971, 3081","971, 3081",592.056130886078
0,"fri_c1_250_5",2973,0.176479539858805,0.134057978673341,0.136575944100815,0.244925121974619,2,6,250,"119, 131","119, 131",4.23714303970337
0,"machine_cpu",8349,0.374063811429797,0.228916503867369,0.23213445937327,0.42908615297806,2,7,209,"153, 56","153, 56",4.92986488342285
0,"visualizing_environmental",8349,0.0341863206205578,0.0243025730745328,0.0307402735981571,0.326087185413356,2,4,111,"58, 53","58, 53",2.05805206298828
0,"space_ga",3069,0.00995999602968178,0.00718840700237533,0.0074190266311184,0.358455184787312,2,7,3107,"1541, 1566","1541, 1566",245.06036400795
0,"fri_c3_1000_10",9882,0.0342046128012644,0.0219528100801007,0.0226668626326078,0.158420624036103,2,11,1000,"440, 560","440, 560",19.2419900894165
0,"fri_c1_1000_5",7943,0.125826028809451,0.0994253867337928,0.100079505487565,0.221988555587024,2,6,1000,"457, 543","457, 543",13.5488250255585
0,"fri_c3_250_5",2973,0.10386145898483,0.0714195541510545,0.0741481394389276,0.375110004879695,2,6,250,"109, 141","109, 141",1.83519196510315
0,"fri_c3_500_5",8349,0.0144123352185171,0.00999844653257565,0.0114338401455795,0.258258000501879,2,6,500,"237, 263","237, 263",4.245285987854
