"cluster","sil_width"
2,-0.263639923398746
2,0.237158391503192
2,0.137702815160262
2,0.0213529359892496
2,-0.419022933974679
2,0.00701380576955285
2,-0.135347115646019
2,-0.308052769363586
2,-0.27964384054818
2,-0.15869191045249
2,0.34100604038475
2,-0.451661719855085
2,-0.129972338209813
2,0.191449567924987
2,0.380451228962273
2,0.143953999282565
2,-0.218203784638577
2,-0.454490686080049
2,-0.123643083521844
2,-0.0847604582279532
1,0.252783346125455
2,0.000751060406956426
1,0.309594478780419
1,0.143448746164584
1,0.0574627349758012
2,0.374448254333477
2,0.320374903924785
1,0.439859262571878
1,0.28610842054884
2,0.0564322045380312
2,0.268676191899849
2,0.396044392585344
2,0.258731277674136
2,0.00916181877357788
1,0.377303723365567
1,0.368746993361002
2,0.269942653760633
2,0.225538030961202
2,-0.0356243004384863
1,0.0264174543662218
1,0.327503735337898
2,0.192379190231469
1,0.121674111190418
2,0.283303441197118
2,0.342266945228645
1,0.0734439204977633
2,0.324296463390014
2,0.322830951762655
2,0.22196109836935
1,0.329116944362839
1,0.0958022412472778
1,0.0430035932719663
1,0.230491162009864
1,0.372515748288216
1,0.217065791622179
1,0.365230605936332
1,0.451291615941448
1,0.429434761925509
2,0.158871648460791
1,0.104948626090415
1,0.283988231425565
2,0.00471165159979508
1,0.427934070732373
1,0.351764509455824
1,0.408298976779357
1,0.150473018462489
2,0.34682252995001
1,0.274346431117772
2,0.109575096072724
2,0.249324802665853
2,0.201133013597528
1,0.371397909584826
2,0.28111538410867
1,0.39403969323734
2,0.161925177834642
2,0.0776142922130804
1,0.380050301502443
1,0.346900983295495
1,0.0920161786253574
2,0.349380820621121
1,0.209073731750692
1,0.440392763978169
1,0.416026480917989
1,0.376925217185341
2,0.173608450415866
2,0.12274474398396
1,0.449022725458421
1,0.325706426711921
2,0.156601308373666
1,0.077663766950465
2,0.351348226651201
2,0.133166795070964
1,0.448551639104658
1,0.168665962197966
2,0.0259503284879943
2,0.306038090121375
2,0.340349749008589
1,0.123679101695763
1,0.410376476607199
2,0.171846046497167
1,0.191120481437852
1,0.0952846698594754
1,0.299999544698458
1,0.302941861395434
2,0.270139411331251
1,0.283813778488319
1,0.300561958034688
1,0.329727065619414
1,0.324063743779066
2,0.249454256511704
1,0.231362461151029
2,0.281304857900662
2,0.132785358313601
1,0.317645565690326
2,0.097716418350278
1,0.310996571316414
2,0.0779623017926889
1,0.404932777836773
2,0.205522512802612
1,0.306115984484622
1,0.209879867904299
1,0.367607242512799
1,0.249009462436767
2,0.28547981921518
1,0.38863198426906
1,0.45642288510156
2,0.334819394036728
2,0.20806325145323
2,0.12961140752041
1,0.44496816764845
2,0.0470220651404665
1,0.152621124447321
1,0.344104633128447
2,0.11389394804385
1,0.109493080332886
1,0.1697291678072
2,0.0779650866722228
1,0.108274217767251
